ovfJ35NOFbxr1CY5zvltc7qvJF7k,108,2018-10-26 14:37:49,1
ovfJ35NOFbxr1CY5zvltc7qvJF7k,es[index],2018-10-26 14:38:0,0
ovfJ35NOFbxr1CY5zvltc7qvJF7k,厉害,2018-10-26 14:38:2,0
ovfJ35NOFbxr1CY5zvltc7qvJF7k,108,2018-10-26 15:53:23,1
ovfJ35NOFbxr1CY5zvltc7qvJF7k,biaoqing,2018-10-26 15:53:29,0
ovfJ35NOFbxr1CY5zvltc7qvJF7k,厉害,2018-10-26 15:53:32,0
ovfJ35DmMF-R0l9zXVicuVoU-btg,140,2018-10-26 16:14:10,1
ovfJ35NOFbxr1CY5zvltc7qvJF7k,108,2018-10-26 16:15:40,1
ovfJ35NOFbxr1CY5zvltc7qvJF7k,服务器,2018-10-26 16:15:53,0
ovfJ35NOFbxr1CY5zvltc7qvJF7k,厉害,2018-10-26 16:15:55,0
ovfJ35DmMF-R0l9zXVicuVoU-btg,134,2018-10-26 16:15:59,1
ovfJ35DmMF-R0l9zXVicuVoU-btg,135,2018-10-26 16:16:49,1
ovfJ35DmMF-R0l9zXVicuVoU-btg,132,2018-10-26 16:17:56,1
ovfJ35DmMF-R0l9zXVicuVoU-btg,120,2018-10-26 16:18:15,1
ovfJ35DmMF-R0l9zXVicuVoU-btg,109,2018-10-26 16:19:25,1
ovfJ35DmMF-R0l9zXVicuVoU-btg,112,2018-10-26 16:20:7,1
ovfJ35DmMF-R0l9zXVicuVoU-btg,114,2018-10-26 16:20:18,1
ovfJ35DmMF-R0l9zXVicuVoU-btg,121,2018-10-26 16:21:39,1
ovfJ35DmMF-R0l9zXVicuVoU-btg,132,2018-10-26 16:22:27,1
ovfJ35DmMF-R0l9zXVicuVoU-btg,138,2018-10-26 16:22:54,1
ovfJ35DmMF-R0l9zXVicuVoU-btg,140,2018-10-26 16:24:41,1
ovfJ35NOFbxr1CY5zvltc7qvJF7k,108,2018-10-26 17:4:43,1
ovfJ35NOFbxr1CY5zvltc7qvJF7k,4403 0400 3002 2400 0090 00074,2018-10-26 17:4:46,0
ovfJ35NOFbxr1CY5zvltc7qvJF7k,厉害,2018-10-26 17:4:49,0
ovfJ35NOFbxr1CY5zvltc7qvJF7k,没说,2018-10-26 17:50:39,0
ovfJ35PpXkOHNxpWBow-2owA-mhA,好的,2018-10-26 19:16:36,0
ovfJ35PpXkOHNxpWBow-2owA-mhA,107,2018-10-26 19:17:6,1
